Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key,Simplified_Indication
Glutamine,NutreStore,3/6/95,For use with human growth hormone in the treatment of short bowel syndrome (nutrient malabsorption from the gastrointestinal tract resulting from an inadequate absorptive surface).,Designated/Approved,,,Treatment of short bowel syndrome in patients receiving specialized nutritional support when used in conjunction with a recombinant human growth hormone that is approved for this indication.,6/10/04,6/10/11,,"Emmaus Medical, Inc.",20725 S. Western Avenue,Suite 136,Torrence,California,90501 ',United States,85794,For short bowel syndrome in patients receiving specialized nutritional support when used in conjunction with a recombinant human growth hormone that is approved for this indication.
glycerol phenylbutyrate,RAVICTI,4/27/09,Maintenance treatment of patients with deficiencies in enzymes of the urea cycle,Designated/Approved,,,"Use as a nitrogen-binding agent for chronic management of adult and pediatric patients > or =2 years of age with urea cycle disorders (UCDs) who cannot be managed by dietary protein restriction and/or amino acid supplementation alone. RAVICTI must be used with dietary protein restriction and, in some cases, dietary supplements (eg, essential amino acids, arginine, citrulline, protein-free calorie supplements).",2/1/13,2/1/20,"Use as a nitrogen-binding adjunctive therapy for chronic management of adult and pediatric patients at least 2 years of age with urea cycle disorders (UCDs) that cannot be managed by dietary protein restriction and/or amino acid supplementation alone. RAVICTI must be used with dietary protein restriction and, in some cases, dietary supplements (eg, essential amino acids, arginine, citrulline, protein-free calorie supplements).","Horizon Pharma USA, INc.",150 South Saunders Road,Suite 400,Lake Forest,Illinois,60045 ',United States,203505,"Use as a nitrogen-binding agent for chronic management of adult and pediatric patients > or =2 years of age with urea cycle disorders (UCDs) who cannot be managed by dietary protein restriction and/or amino acid supplementation alone. RAVICTI must be used with dietary protein restriction and, in some cases, dietary supplements (eg, essential amino acids, arginine, citrulline, protein-free calorie supplements)."
glycerol phenylbutyrate,RAVICTI,4/27/09,Maintenance treatment of patients with deficiencies in enzymes of the urea cycle,Designated/Approved,,,For use as a nitrogen-binding agent for chronic management of patients 2 months of age and older with urea cycle disorders (UCDs) who cannot be managed by dietary protein restriction and/or amino acid supplementation alone.,4/28/17,4/28/24,For use as a nitrogen-binding agent for chronic management of pediatric patients > or =2 months and,"Horizon Pharma USA, INc.",150 South Saunders Road,Suite 400,Lake Forest,Illinois,60045 ',United States,203505,For use as a nitrogen-binding agent for chronic management of patients 2 months of age and older with urea cycle disorders (UCDs) who cannot be managed by dietary protein restriction and/or amino acid supplementation alone.
glycopyrrolate,Cuvposa,6/9/06,Treatment of pathologic (chronic moderate to severe) drooling in pediatric patients,Designated/Approved,,,To reduce chronic drooling in patients aged 3 - 16 with neurologic conditions associated with problem drooling (e.g. cerebral palsy),7/28/10,7/28/17,,"Shionogi, Inc.",300 Campus Drive,,Florham,New Jersey,07932 ',United States,204105,To reduce chronic drooling in patients aged 3 - 16 with neurologic conditions associated with problem drooling (e.g. cerebral palsy)
golimumab,SIMPONI ARIA,4/2/15,Treatment of polyarticular juvenile idiopathic arthritis in patients 0 through 18 years of age.,Designated/Approved,,,treatment of active polyarticular juvenile idiopathic arthritis (pJIA) in patients 2 years of age and older,9/29/20,9/29/27,treatment of active polyarticular juvenile idiopathic arthritis (pJIA) in patients 2 to 18 years of age,"Janssen Research & Development, LLC",1400 McKean Road,,Spring House,Pennsylvania,19477 ',United States,325610,For active polyarticular juvenile idiopathic arthritis (pJIA) in patients 2 years of age and older
golodirsen,VYONDYS 53,5/22/18,Treatment of Duchenne muscular dystrophy (DMD),Designated/Approved,,,VYONDYS 53 is indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 53 skipping.,12/12/19,12/12/26,Indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 53 skipping,"Sarepta Therapeutics, Inc.",215 First Street,,Cambridge,Massachusetts,02142 ',United States,636818,VYONDYS 53 is For Duchenne muscular dystrophy (DMD) in patients who have a confirmed mutation of the DMD gene that is amenable to exon 53 skipping.
Gonadorelin acetate,Lutrepulse,4/22/87,For induction of ovulation in women with hypothalamic amenorrhea due to a deficiency or absence in the quantity or pulse pattern of endogenous GnRH secretion.,Designated/Approved,,,,10/10/89,10/10/96,,"Ferring Laboratories, Inc.","400 Rella Boulevard, Suite 201",,Suffern,New York,10901 ',United States,17086,
Halofantrine,Halfan,11/4/91,Treatment of mild to moderate acute malaria caused by susceptible strains of P. falciparum and P. vivax.,Designated/Approved,,,Treatment of adults who can tolerate oral medication and who have mild to moderate malaria caused by Plasmodium falciparum or Plasmodium vivax.,7/24/92,7/24/99,,SmithKline Beecham Pharmaceuticals,One Franklin Plaza,P.O. Box 7929,Philadelphia,Pennsylvania,19101 ',United States,61791,For adults who can tolerate oral medication and who have mild to moderate malaria caused by Plasmodium falciparum or Plasmodium vivax.
Hemin,Panhematin,3/16/84,"Amelioration of recurrent attacks of acute intermittent porphyria (AIP) temporarily related to the menstrual cycle in susceptible women and similar symptoms which occur in other patients with AIP, porphyria variegata and hereditary coproporphyria.",Designated/Approved,,,,7/20/83,7/20/90,,Abbott Laboratories,Diagnostics Division,,Abbott Park,Illinois,60064 ',United States,683,
hepatitis B immune globulin (human),HepaGam B,3/24/08,Prevention of hepatitis B recurrence following orthotopic liver transplant,Designated/Approved,,,Prevention of hepatitis B recurrence following liver transplantation in HBsAG-positive liver transplant patients,4/6/07,4/6/14,,Cangene Corporation,155 Innovation Drive,,Winnipeg,,',Canada,228506,Prevention of hepatitis B recurrence following liver transplantation in HBsAG-positive liver transplant patients
Histrelin,Supprelin LA,11/18/05,Treatment of central precocious puberty,Designated/Approved,,,Treatment of central precocious puberty,5/3/07,5/3/14,,"Endo Pharmaceuticals Solutions, Inc.",100 Endo Blvd,,Chadds Ford,Pennsylvania,19317 ',United States,212605,For central precocious puberty
Histrelin acetate,Supprelin Injection,8/10/88,Treatment of central precocious puberty.,Designated/Approved,,,Treatment of central precocious puberty.,12/24/91,12/24/98,,Roberts Pharmaceutical Corp.,Meridian Center III,6 Industrial Way West,Eatontown,New Jersey,07724 ',United States,16986,For central precocious puberty.
"human fibrinogen concentrate, pasteurized",RiaSTAP,3/13/08,Treatment of fibrinogen deficient patients.,Designated/Approved,,,Treatment of acute bleeding episodes in patients with congenital fibrinogen deficiency (afibrinogenemia and hypofibrinogenemia),1/16/09,1/16/16,,"CSL Behring, LLC",1020 First Avenue,P.O. Box 61501,King of Prussia,Pennsylvania,19406 ',United States,245107,For acute bleeding episodes in patients with congenital fibrinogen deficiency (afibrinogenemia and hypofibrinogenemia)
Hydrocortisone,ALKINDI SPRINKLE,5/13/15,Treatment of pediatric adrenal insufficiency (0 through 16 years of age).,Designated/Approved,,,ALKINDI SPRINKLE is indicated as replacement therapy in pediatric patients with adrenocortical insufficiency,9/29/20,,,"Eton Pharmaceuticals, Inc.","21925 West Field Parkway, Suite 235",,Deer Park,Illinois,60010 ',United States,441614,ALKINDI SPRINKLE is indicated as replacement therapy in pediatric patients with adrenocortical insufficiency
Hydroxocobalamin,Cyanokit,11/25/03,Treatment of acute cyanide poisoning,Designated/Approved,,,Treatment on known or suspected cyanide poisoning,12/15/06,12/15/13,,"SERB, S.A.",480 Avenue Louise,,Brussels,Brussels,',Belgium,177403,Treatment on known or suspected cyanide poisoning
hydroxycarbamide (hydroxyurea),Siklos,7/24/13,Treatment of sickle cell disease in patients under 18 years of age,Designated/Approved,,,"To reduce the frequency of painful crises and to reduce the need for blood transfusions in pediatric patients, 2 years of age and older, with sickle cell anemia with recurrent moderate to severe painful crises",12/21/17,12/21/24,"To reduce the frequency of painful crises and to reduce the need for blood transfusions in pediatric patients, 2 years of age and older, with sickle cell anemia with recurrent moderate to severe painful crises",Theravia Pharma,16 rue Montrosier,,Neuilly-sur-Seine,,992200 ',France,400413,"To reduce the frequency of painful crises and to reduce the need for blood transfusions in pediatric patients, 2 years of age and older, with sickle cell anemia with recurrent moderate to severe painful crises"
hydroxyprogesterone caproate,Makena,1/25/07,Prevention of preterm birth in singleton pregnancies,Designated/Approved,,,Makena auto-injector for subcutaneous injection is indicated to reduce the risk of preterm birth in women with singleton pregnancy who have a history of singleton spontaneous preterm birth.,2/14/18,,,"AMAG Pharma USA, Inc.",1100 Winter Street,,Waltham,Massachusetts,02154 ',United States,218706,Makena auto-injector for subcutaneous injection is indicated to reduce the risk of preterm birth in women with singleton pregnancy who have a history of singleton spontaneous preterm birth.
hydroxyprogesterone caproate,Makena,1/25/07,Prevention of preterm birth in singleton pregnancies,Designated/Approved,,,To reduce the risk of preterm birth in women with singleton pregnancy who have a history of singleton spontaneous preterm birth,2/3/11,2/3/18,,"AMAG Pharma USA, Inc.",1100 Winter Street,,Waltham,Massachusetts,02154 ',United States,218706,To reduce the risk of preterm birth in women with singleton pregnancy who have a history of singleton spontaneous preterm birth
Hydroxyurea,Droxia,10/1/90,Treatment of patients with sickle cell anemia as shown by the presence of hemoglobin S.,Designated/Approved,,,To reduce the frequency of painful crises and to reduce the need for blood transfusions in adult patients with sickle cell anemia with recurrent moderate to severe painful crises (generally at least 3 during the preceding 12 months).,2/25/98,2/25/05,,Bristol-Myers Squibb Pharmaceutical Research Institute,P.O. Box 4000,,Princeton,New Jersey,08543 ',United States,49590,To reduce the frequency of painful crises and to reduce the need for blood transfusions in adult patients with sickle cell anemia with recurrent moderate to severe painful crises (generally at least 3 during the preceding 12 months).
hydroxyurea,Xromi,3/2/17,Treatment of sickle cell anemia in pediatric patients,Designated/Approved,,,to reduce the frequency of painful crises and reduce the need for blood transfusions in pediatric patients 6 months of age and older with sickle cell anemia with recurrent moderate to severe painful crises,12/23/24,,,Nova Laboratories Limited,Martin House,Gloucester Crescent,Leicester,Wigston,',United Kingdom,555116,to reduce the frequency of painful crises and reduce the need for blood transfusions in pediatric patients 6 months of age and older with sickle cell anemia with recurrent moderate to severe painful crises
hydroxyurea,Xromi,3/2/17,Treatment of sickle cell anemia in pediatric patients,Designated/Approved,,,"to reduce the frequency of painful crises and reduce the need for blood transfusions in pediatric patients aged 6 months of age to less than 2 years, with sickle cell anemia with recurrent moderate to severe painful crises",4/4/24,4/4/31,"to reduce the frequency of painful crises and reduce the need for blood transfusions in pediatric patients aged 6 months of age to less than 2 years, with sickle cell anemia with recurrent moderate to severe painful crises",Nova Laboratories Limited,Martin House,Gloucester Crescent,Leicester,Wigston,',United Kingdom,555116,"to reduce the frequency of painful crises and reduce the need for blood transfusions in pediatric patients aged 6 months of age to less than 2 years, with sickle cell anemia with recurrent moderate to severe painful crises"
ibalizumab,Trogarzo,10/20/14,Treatment of HIV-1 infection in treatment experienced adult patients with documented multi-antiretroviral class resistance and evidence of HIV-1 replication despite ongoing antiretroviral therapy,Designated/Approved,,,"TROGARZO, in combination with other antiretroviral(s), is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in heavily treatment-experienced adults with multidrug resistant HIV-1 infection failing their current antiretroviral regimen.",3/6/18,3/6/25,"TROGARZO, in combination with other antiretroviral(s), is indicated for the treatment of human immunodeficiency virus type 1 (HIV-1) infection in heavily treatment-experienced adults with multidrug resistant HIV-1 infection failing their current antiretroviral regimen.",Theratechnologies Inc.,2015 Peel Street,5th Floor,Montreal,,',Canada,321910,"TROGARZO, In combination with other antiretroviral(s), is For human immunodeficiency virus type 1 (HIV-1) infection in heavily treatment-experienced adults with multidrug resistant HIV-1 infection failing their current antiretroviral regimen."
ibritumomab tiuxetan,Zevalin,9/6/94,Treatment of B-cell non-Hodgkin's lymphoma.,Designated/Approved,,,"Treatment of patients with relapsed or refractory low-grade, follicular, or transformed B-cell non-Hodgkin's lymphoma, including patients with Rituximab (Rituxan?) refractory follicular non-Hodgkin?s lymphoma",2/19/02,2/19/09,,Acrotech Biopharma LLC,279 Princeton Hightstown Road,,East Windsor,New Jersey,08520 ',United States,84894,"For patients with relapsed or refractory low-grade, follicular, or transformed B-cell non-Hodgkin's lymphoma, including patients with Rituximab (Rituxan?) refractory follicular non-Hodgkin?s lymphoma"
ibrutinib,Imbruvica,6/23/16,Treatment of chronic Graft versus Host disease,Designated/Approved,,,Treatment of adult patients with chronic graft versus host disease (cGVHD) after failure of one or more lines of systemic therapy.,8/2/17,8/2/24,Treatment of adult patients with chronic graft versus host disease (cGVHD) after failure of one or more lines of systemic therapy.,"Pharmacyclics, LLC",995 East Arques Avenue,,Sunnyvale,California,94085 ',United States,525616,For adult patients with chronic graft versus host disease (cGVHD) after failure of one or more lines of systemic therapy.
ibrutinib,Imbruvica,6/23/16,Treatment of chronic Graft versus Host disease,Designated/Approved,,,Treatment of adult and pediatric patients age 1 year and older with chronic graft-versus-host disease (cGVHD) after failure of one or more lines of systemic therapy,8/24/22,8/24/29,Treatment of pediatric patients age 1 year and older with chronic graft-versus-host disease (cGVHD) after failure of one or more lines of systemic therapy,"Pharmacyclics, LLC",995 East Arques Avenue,,Sunnyvale,California,94085 ',United States,525616,For adult and pediatric patients age 1 year and older with chronic graft-versus-host disease (cGVHD) after failure of one or more lines of systemic therapy
ibrutinib,Imbruvica,2/5/15,Treatment of splenic marginal zone lymphoma,Designated/Approved,,,Treatment of patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn),1/18/17,5/18/23,Treatment of patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn),"Pharmacyclics, LLC",1000 Gateway Blvd,,South San Francisco,California,94080 ',United States,462314,For patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn)
ibrutinib,Imbruvica,2/2/16,Treatment of patients with extranodal marginal zone lymphoma (mucosa associated lymphoid tissue [MALT type] lymphoma),Designated/Approved,,,Treatment of patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn),1/18/17,5/18/23,Treatment of patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn),"Pharmacyclics, LLC",1000 Gateway Blvd,,South San Francisco,California,94080 ',United States,462114,For patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn)
ibrutinib,Imbruvica,2/5/15,Treatment of nodal marginal zone lymphoma,Designated/Approved,,,Treatment of patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn),1/18/17,5/18/23,Treatment of patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn),"Pharmacyclics, LLC",1000 Gateway Blvd,,South San Francisco,California,94080 ',United States,462214,For patients with Marginal Zone Lymphoma (MZL) who require systemic therapy and have received at least one prior anti-CD20-based therapy (indication withdrawn)
ibrutinib,Imbruvica,10/15/13,Treatment of Waldenstrom's macroglobulinemia,Designated/Approved,,,Treatment of patients with Waldenstrom's macroglobulinemia,1/29/15,1/29/22,Treatment of patients with Waldenstrom's macroglobulinemia,"Pharmacyclics, LLC",995 E. Arques Avenue,,Sunnyvale,California,94085 ',United States,407413,For patients with Waldenstrom's macroglobulinemia
ibrutinib,Imbruvica,12/3/12,Treatment of mantle cell lymphoma,Designated/Approved,,,Treatment of patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,11/13/13,11/13/20,Treatment of patients with mantle cell lymphoma (MCL) who have received at least one prior therapy,"Pharmacyclics, LLC",995 E. Arques Avenue,,Sunnyvale,California,94085 ',United States,383112,For patients with mantle cell lymphoma (MCL) who have received at least one prior therapy
ibrutinib,IMBRUVICA,5/30/13,Treatment of small lymphocytic lymphoma,Designated/Approved,,,Indicated for the treatment of patients with chronic lymphocytic leukemia (CLL)/small lymphocytic lymphoma (SLL) and indicated for the treatment of patients with chronic lymphocytic leukemia (CLL)/small lymphocytic leukemia (SLL) with 17p deletion.,5/6/16,5/6/23,For treatment of patients with small lymphocytic lymphoma (SLL),"Pharmacyclics, LLC",995 E. Arques Avenue,,Sunnyvale,California,94085 ',United States,395513,For patients with chronic lymphocytic leukemia (CLL)/small lymphocytic lymphoma (SLL) and For patients with chronic lymphocytic leukemia (CLL)/small lymphocytic leukemia (SLL) with 17p deletion.
ibrutinib,Imbruvica,4/6/12,Treatment of chronic lymphocytic leukemia (CLL),Designated/Approved,,,Indicated for the treatment of patients with chronic lymphocytic leukemia,3/4/16,3/4/23,Indicated for the treatment of patients with chronic lymphocytic leukemia without 17p deletion who have not received at least one prior therapy (first line therapy).,"Pharmacyclics, LLC",995 E. Arques Avenue,,Sunnyvale,California,94085 ',United States,368012,For patients with chronic lymphocytic leukemia
ibrutinib,Imbruvica,4/6/12,Treatment of chronic lymphocytic leukemia (CLL),Designated/Approved,,,Treatment of patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy,2/12/14,2/12/21,Treatment of patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy,"Pharmacyclics, LLC",995 E. Arques Avenue,,Sunnyvale,California,94085 ',United States,368012,For patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy
ibrutinib,Imbruvica,4/6/12,Treatment of chronic lymphocytic leukemia (CLL),Designated/Approved,,,Treatment of patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy and treatment of patients with chronic lymphocytic leukemia (CLL) with 17p deletion,7/28/14,7/28/21,Treatment of chronic lymphocytic leukemia with 17p deletion who have not received at least one prior therapy,"Pharmacyclics, LLC",995 E. Arques Avenue,,Sunnyvale,California,94085 ',United States,368012,For patients with chronic lymphocytic leukemia (CLL) who have received at least one prior therapy and For patients with chronic lymphocytic leukemia (CLL) with 17p deletion
Ibuprofen lysine,NeoProfen,10/29/96,Treatment of patent ductus arteriosus,Designated/Approved,,,"For closure of a clinically significant patent ductus arteriosus in premature infants weighing between 500 and 1500 g, who are no more than 32 weeks gestational age when usual medical management (e.g., fluid restriction, diuretics, respiratory support, etc.) is ineffective",4/13/06,4/13/13,,"Lundbeck, Inc.",Four Parkway North,,Deerfield,Illinois,60015 ',United States,101496,"For closure of a clinically significant patent ductus arteriosus in premature infants weighing between 500 and 1500 g, who are no more than 32 weeks gestational age when usual medical management (e.g., fluid restriction, diuretics, respiratory support, etc.) is ineffective"
icatibant,Firazyr,11/25/03,Treatment of angioedema,Designated/Approved,,,Treatment of acute attacks of hereditary angioedema in adults 18 years of age and older,8/25/11,8/25/18,,"Takeda Development Center Americas, Inc.",500 Kendall Street,,Cambridge,Massachusetts,02142 ',United States,176203,For acute attacks of hereditary angioedema in adults 18 years of age and older
Icodextrin 7.5% with Electrolytes Peritoneal Dialysis Solution,Extraneal (with 7.5% Icodextrin) Peritoneal Dialysis Solutio,7/18/97,Treatment of those patients having end stage renal disease and requiring peritoneal dialysis treatment.,Designated/Approved,,,For use as a single daily exchange for the long (8-16 hour) dwell during continuous ambulatory peritoneal dialysis (CAPD) or automated peritoneal dialysis (APD) for the management of chronic renal failure.,12/20/02,12/20/09,,Baxter Healthcare Corporation,Renal Division,1620 Waukegan Road,McGaw Park,Illinois,60085 ',United States,105697,For use as a single daily exchange for the long (8-16 hour) dwell during continuous ambulatory peritoneal dialysis (CAPD) or automated peritoneal dialysis (APD) for the management of chronic renal failure.
Idarubicin HCl for injection,Idamycin,7/25/88,"Treatment of acute myelogenous leukemia, also referred to as acute nonlymphocytic leukemia.",Designated/Approved,,,,9/27/90,9/27/97,,"Adria Laboratories, Inc.",P.O. Box 16529,,Columbus,Ohio,43216 ',United States,29388,
idarucizumab,,5/28/15,To reverse the anticoagulant effect of dabigatran due to uncontrolled life-threatening bleeding requiring urgent intervention or a need to undergo an emergency surgery/urgent invasive procedure,Designated/Approved,,,For use in patients treated with Pradaxa when reversal of the anticoagulant effects of dabigatran is needed for emergency surgery/urgent procedures and in life-threatening or uncontrolled bleeding,10/16/15,10/16/22,For use in patients treated with Pradaxa when reversal of the anticoagulant effects of dabigatran is needed for emergency surgery/urgent procedures and in life-threatening or uncontrolled bleeding,"Boehringer Ingelheim Pharmaceuticals, Inc.",PO Box 368,900 Ridgebury Road,Ridgefield,Connecticut,06877 ',United States,445714,For use in patients treated with Pradaxa when reversal of the anticoagulant effects of dabigatran is needed for emergency surgery/urgent procedures and in life-threatening or uncontrolled bleeding
idecabtagene vicleucel,Abecma,5/11/16,Treatment of multiple myeloma,Designated/Approved,,,"treatment of adult patients with relapsed or refractory multiple myeloma after two or more prior lines of therapy including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody",4/4/24,4/4/31,"treatment of adult patients with relapsed or refractory multiple myeloma after two or three prior lines of therapy including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody","Celgene Corporation, a Bristol-Myers Squibb Company",86 Morris Avenue,,Summit,New Jersey,07901 ',United States,520416,"For adult patients with relapsed or refractory multiple myeloma after two or more prior lines of therapy including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody"
idecabtagene vicleucel,Abecma,5/11/16,Treatment of multiple myeloma,Designated/Approved,,,"treatment of adult patients with relapsed or refractory multiple myeloma after four or more prior lines of therapy, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody",3/26/21,3/26/28,"treatment of adult patients with relapsed or refractory multiple myeloma after four or more prior lines of therapy, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody","Celgene Corporation, a Bristol-Myers Squibb Company",86 Morris Avenue,,Summit,New Jersey,07901 ',United States,520416,"For adult patients with relapsed or refractory multiple myeloma after four or more prior lines of therapy, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 monoclonal antibody"
idelalisib,Zydelig,9/26/13,Treatment of follicular lymphoma,Designated/Approved,,,Zydelig is indicated for the treatment of patients with relapsed follicular B-cell non-Hodgkin lymphoma (FL) who have received at least two prior systemic therapies.,7/23/14,7/23/21,Relapsed follicular B-cell non-Hodgkin lymphoma (FL) in patients who have received at least two prior systemic therapies.,"Gilead Sciences, Inc.",199 E. Blaine St,,Seattle,Washington,98102 ',United States,405813,Zydelig is For patients with relapsed follicular B-cell non-Hodgkin lymphoma (FL) who have received at least two prior systemic therapies.
idelalisib,Zydelig,10/15/13,Treatment of chronic lymphocytic leukemia and small lymphocytic lymphoma,Designated/Approved,,,"Zydelig is indicated, in combination with rituximab, for the treatment of patients with relapsed chronic lymphocytic leukemia (CLL) for whom rituximab alone would be considered appropriate therapy due to other co-morbidities; and Zydelig is indicated for the treatment of patients with relapsed small lymphocytic lymphoma (SLL) who have received at least two prior systemic therapies.",7/23/14,7/23/21,"(1) Relapsed chronic lymphocytic leukemia (CLL), in combination with rituximab, in patients for whom rituximab alone would be considered appropriate therapy due to other co-morbidities; and (2) Relapsed small lymphocytic lymphoma (SLL) in patients who have received at least two prior systemic therapies.","Gilead Sciences, Inc.",199 E. Blaine St,,Seattle,Washington,98102 ',United States,405913,"Zydelig is indicated, In combination with rituximab, For patients with relapsed chronic lymphocytic leukemia (CLL) for whom rituximab alone would be considered appropriate therapy due to other co-morbidities; and Zydelig is For patients with relapsed small lymphocytic lymphoma (SLL) who have received at least two prior systemic therapies."
idursulfase,Elaprase,11/28/01,Long term enzyme replacement therapy for patients with mucopolysaccharidosis II (Hunter Syndrome),Designated/Approved,,,"Indicated for patients with Hunter syndrome (mucopolysaccharidosis II, MPS II). Idursulfase has been shown to improve walking capacity in these patients",7/24/06,7/24/13,,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,02142 ',United States,147301,"For patients with Hunter syndrome (mucopolysaccharidosis II, MPS II). Idursulfase has been shown to improve walking capacity in these patients"
Ifosfamide,Ifex,1/20/87,Treatment of testicular cancer.,Designated/Approved,,,"In combination with certain other approved antineoplastic agents, for third line chemotherapy in the treatment of germ cell testicular cancer.",12/30/88,12/30/95,,Bristol-Myers Squibb Pharmaceutical Research Institute,"5 Research Parkway, P.O. Box 5100",,Wallingford,Connecticut,06492 ',United States,17786,"In combination with certain other approved antineoplastic agents, for third line chemotherapy in the For germ cell testicular cancer."
iloprost,Aurlumyn,6/29/22,Treatment of frostbite,Designated/Approved,,,treatment of severe frostbite in adults to reduce the risk of digit amputations,2/13/24,2/13/31,treatment of severe frostbite in adults to reduce the risk of digit amputations,BTG International Inc.,300 Four Falls Corporate Center,"300 Conshohocken State Road, Suite 300",West Conshohocken,Pennsylvania,19428 ',United States,886722,For severe frostbite in adults to reduce the risk of digit amputations
Iloprost inhalation solution,Ventavis,8/17/04,Treatment of pulmonary arterial hypertension,Designated/Approved,,,Treatment of pulmonary arterial hypertension (WHO Group I) in patients with NYHA Class III or IV symptoms,12/29/04,12/29/11,,"CoTherix, Inc.",5000 Shoreline Court,,South San Francisco,California,94080 ',United States,186904,For pulmonary arterial hypertension (WHO Group I) in patients with NYHA Class III or IV symptoms
imatinib,Gleevec,10/11/05,Treatment of Philadelphia-positive acute lymphoblastic leukemia,Designated/Approved,,,Treatment of adult patients with relapsed or refractory Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ALL),10/19/06,10/19/13,,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,07936 ',United States,208905,For adult patients with relapsed or refractory Philadelphia chromosome positive acute lymphoblastic leukemia (Ph+ALL)
imatinib,Gleevec,10/11/05,Treatment of Philadelphia-positive acute lymphoblastic leukemia,Designated/Approved,,,Pediatric patients with newly diagnosed Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) in combination with chemotherapy,1/25/13,1/25/20,Treatment of pediatric patients with newly diagnosed Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) in combination with chemotherapy,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,07936 ',United States,208905,Pediatric patients with newly diagnosed Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) In combination with chemotherapy
Imatinib,Gleevec,1/31/01,Treatment of chronic myelogenous leukemia,Designated/Approved,,,"Treatment of patients with chronic myeloid leukemia (CML) in blast crisis, accelerated phase, or in chronic phase after failure of interferon-alpha therapy",5/10/01,5/10/08,,Novartis Pharmaceuticals Corporation,59 Route 10,,East Hanover,New Jersey,07936 ',United States,140100,"For patients with chronic myeloid leukemia (CML) in blast crisis, accelerated phase, or in chronic phase after failure of interferon-alpha therapy"
imatinib mesylate,Gleevec,11/1/01,Treatment of gastrointestinal stromal tumors,Designated/Approved,,,Adjuvant treatment of adult patients following complete resection Kit (CD 117) positive gastrointestinal stromal tumors (GIST).,12/19/08,12/19/15,,Novartis Pharmaceuticals Corp.,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,07936 ',United States,149201,Adjuvant For adult patients following complete resection Kit (CD 117) positive gastrointestinal stromal tumors (GIST).
imatinib mesylate,Gleevec,12/19/05,Treatment of dermatofibrosarcoma protuberans,Designated/Approved,,,"Treatment of adult patients with unresectable, recurrent and/or metastatic dermatofibrosarcoma protuberans (DFSP)",10/19/06,10/19/13,,Novartis Pharmaceuticals Corporation,One Health Plaza,Mail Code 105/1E870D,East Hanover,New Jersey,07936 ',United States,208805,"For adult patients with unresectable, recurrent and/or metastatic dermatofibrosarcoma protuberans (DFSP)"
